Gerenal,WinRate,GameTimes
tenyear_zhaoyanw,not play yet,0
liuzan,not play yet,0
ov_qiaogong,not play yet,0
sunliang,not play yet,0
tenyear_caozhen,not play yet,0
xizhicai,not play yet,0
ov_xunchen,not play yet,0
tenyear_lvbu,not play yet,0
tenyear_xunyou,not play yet,0
yangxiu,not play yet,0
SiMaYi_Six,not play yet,0
f_shentaishicii,not play yet,0
yj_xiahoushi,not play yet,0
lei_yuanshu,not play yet,0
zhouyi,not play yet,0
bgm_caoren,not play yet,0
bgm_liubei,not play yet,0
zongyu,not play yet,0
lvdai,not play yet,0
SiMaYi_Seven,not play yet,0
mobilemou_xuhuang,not play yet,0
kof_nos_diaochan,not play yet,0
huanggai,not play yet,0
xiahouyuan,not play yet,0
ov_xujing,not play yet,0
zhurong,not play yet,0
zhuling,not play yet,0
xunyou,not play yet,0
leitong,not play yet,0
ol_tadun,not play yet,0
liushan,not play yet,0
sp_zhangyi,not play yet,0
ol_dianwei,not play yet,0
xingzhangliao,not play yet,0
liubiao,not play yet,0
s4_txbw_caocao,not play yet,0
ov_qiaorui,not play yet,0
ov_guanqiujian,not play yet,0
zhangfei,not play yet,0
meizlshenguanyinping,not play yet,0
mt_xiahouba,not play yet,0
ov_huchuquan,not play yet,0
ruiji,not play yet,0
tenyear_panfeng,not play yet,0
GanNing_Plus,not play yet,0
ol_liubei,not play yet,0
yuanhuan,not play yet,0
xingxuhuang,not play yet,0
tenyear_dongcheng,not play yet,0
ol_xiahouyuan,not play yet,0
second_mobilexin_mifuren,not play yet,0
ol_zhangfei,not play yet,0
ZhangJiaoB_Five,not play yet,0
jin_duyu,not play yet,0
ol_jiaxu,not play yet,0
sunluyu,not play yet,0
zhangyi,not play yet,0
mobile_xusheng,not play yet,0
mobile_zhanggong,not play yet,0
maridi,not play yet,0
ZhangJiaoA_Five,not play yet,0
ol_zhaoxiang,not play yet,0
tenyear_xiahoudun,not play yet,0
duCaocao,not play yet,0
zhaoyanw,not play yet,0
tenyear_chengong,not play yet,0
ov_handang,not play yet,0
luajiaxu,not play yet,0
s4_cloud_sunquan,not play yet,0
ov_zhouchu,not play yet,0
sunjian,not play yet,0
ov_niujin,not play yet,0
elukang,not play yet,0
mobile_guanqiujian,not play yet,0
zhanghu,not play yet,0
luxun,not play yet,0
sunhao,not play yet,0
mobile_zhoutai,not play yet,0
yh_zhugeliang,not play yet,0
tenyear_new_sp_jiaxu,not play yet,0
ol_shenguanyu,not play yet,0
mobile_yuanshu,not play yet,0
zhujianping,not play yet,0
wangwei,not play yet,0
xingzhaoyun,not play yet,0
tenyear_sunxiu,not play yet,0
meispniangzhaoyun,not play yet,0
dongyun,not play yet,0
yujin,not play yet,0
sunshao,not play yet,0
sp_caoren,not play yet,0
lingcao,not play yet,0
fengfang,not play yet,0
SunCe_Plus,not play yet,0
menghuo,not play yet,0
heg_jiangwei,not play yet,0
jin_shibao,not play yet,0
guanqiujian,not play yet,0
tenyear_xiaoqiao,not play yet,0
luyusheng,not play yet,0
ov_fuhuanghou,not play yet,0
shenzhaoyun,not play yet,0
MengHuo_Plus,not play yet,0
CaoCao_six,not play yet,0
SiMaHui_Plus,not play yet,0
xunchen,not play yet,0
bulianshi,not play yet,0
sundeng,not play yet,0
ol_zhurong,not play yet,0
mobile_caopi,not play yet,0
mobilezhi_luotong,not play yet,0
zhuzhi,not play yet,0
mobileyong_huaman,not play yet,0
caozhang,not play yet,0
mobilexin_wujing,not play yet,0
ov_caocao,not play yet,0
hansui,not play yet,0
wis_huaxiong,not play yet,0
cenhun,not play yet,0
tenyear_huojun,not play yet,0
jin_yanghu,not play yet,0
kof_zhurong,not play yet,0
mobileyan_jiangwan,not play yet,0
XiaoQiaoA_Four,not play yet,0
mobile_caiwenji,not play yet,0
sp_panfeng,not play yet,0
yh_shenmachao,not play yet,0
yin_xuyou,not play yet,0
ol_jie_caiwenji,not play yet,0
tenyear_wangyi,not play yet,0
new_shenzhaoyun,not play yet,0
chendao,not play yet,0
MaChao_Plus,not play yet,0
zhangjinyun,not play yet,0
gongsunkang,not play yet,0
second_zhuling,not play yet,0
s4_cloud_zhangliao,not play yet,0
second_tenyear_chengpu,not play yet,0
xiahouba,not play yet,0
caozhen,not play yet,0
ol_shenzhangliao,not play yet,0
JiangWan_Six,not play yet,0
tenyear_gaoshun,not play yet,0
kof_nos_huangyueying,not play yet,0
huangyueying,not play yet,0
weiwenzhugezhi,not play yet,0
caomao,not play yet,0
jin_zuofen,not play yet,0
PangTong_Six,not play yet,0
ov_wangcang,not play yet,0
zuoci,not play yet,0
ov_sunyi,not play yet,0
caoanmin,not play yet,0
jiakui,not play yet,0
zhangzhongjing_first,not play yet,0
XuChu_Plus,not play yet,0
tianfeng,not play yet,0
mobile_sunxiu,not play yet,0
tenyear_liubei,not play yet,0
diyzhangfei,not play yet,0
mazhong,not play yet,0
meizldaqiao,not play yet,0
xingzhouyu,not play yet,0
meizlcaiwenji,not play yet,0
meizlbulianshi,not play yet,0
tenyear_zhoucang,not play yet,0
tenyear_tangzi,not play yet,0
yh_chenshou,not play yet,0
tenyear_sunshangxiang,not play yet,0
ol_yujin,not play yet,0
jsp_jiangwei,not play yet,0
yinfuren,not play yet,0
gongsunzan,not play yet,0
ol_xuhuang,not play yet,0
shenluxun,not play yet,0
tenyear_xiahoushi,not play yet,0
mangyachang,not play yet,0
ov_zhugeguo,not play yet,0
second_gaolan,not play yet,0
meizlzhenji,not play yet,0
blood_sunbofu,not play yet,0
tenyear_zhugeguo,not play yet,0
mobile_pangtong,not play yet,0
caoxiu,not play yet,0
furong,not play yet,0
mobilezhi_wangcan,not play yet,0
huangfusong,not play yet,0
wangshuang,not play yet,0
ov_gexuan,not play yet,0
mobilexin_wangling,not play yet,0
xurong,not play yet,0
HuaTuo_Plus,not play yet,0
GuanYu_Four,not play yet,0
tenyear_lvkuanglvxiang,not play yet,0
ol_sunhao,not play yet,0
YuJin_Plus,not play yet,0
lijue,not play yet,0
meizlsunru,not play yet,0
dengzhi,not play yet,0
lidian,not play yet,0
zhangyao,not play yet,0
ov_liufuren,not play yet,0
ol_masu,not play yet,0
xujing,not play yet,0
jin_wangxiang,not play yet,0
liru,not play yet,0
meizlyanshi,not play yet,0
tenyear_huangzu,not play yet,0
fengxi,not play yet,0
yangwan,not play yet,0
ol_sunxiu,not play yet,0
fanjiangzhangda,not play yet,0
tenyear_jianyong,not play yet,0
ol_wangyi,not play yet,0
second_ol_yuanshao,not play yet,0
ov_duosidawang,not play yet,0
DongZhao_Six,not play yet,0
yh_liushan,not play yet,0
luboyan,not play yet,0
ov_weixu,not play yet,0
HuangGai_Plus,not play yet,0
wangtao,not play yet,0
zhouyu,not play yet,0
caoang,not play yet,0
tenyear_wuyi,not play yet,0
liupi,not play yet,0
LiuYe_Seven,not play yet,0
diy_liuxie,not play yet,0
tenyear_diaochan,not play yet,0
ol_xiaoqiao,not play yet,0
tenyear_shixie,not play yet,0
mobile_chenqun,not play yet,0
second_liuye,not play yet,0
meispnianglvbu,not play yet,0
litong,not play yet,0
mobile_jikang,not play yet,0
neo_sunce,not play yet,0
tenyear_bulianshi,not play yet,0
SunJun_Seven,not play yet,0
mobile_caozhi,not play yet,0
s4_txbw_caoren,not play yet,0
sunru,not play yet,0
jin_xinchang,not play yet,0
tenyear_guohuai,not play yet,0
second_tenyear_sunluyu,not play yet,0
tenyear_zhangbao,not play yet,0
second_xingganning,not play yet,0
liwan,not play yet,0
ol_mazhong,not play yet,0
wangping,not play yet,0
mobilexin_xinpi,not play yet,0
kof_nos_guanyu,not play yet,0
ol_menghuo,not play yet,0
second_huaman,not play yet,0
simahui,not play yet,0
mspzhurong,not play yet,0
ov_yujin,not play yet,0
vs_nos_guanyu,not play yet,0
ZhangJiao_Plus,not play yet,0
weizi,not play yet,0
tenyear_panzhangmazhong,not play yet,0
mobile_wuguotai,not play yet,0
duxi,not play yet,0
langlvbu,not play yet,0
second_tenyear_zhangyi,not play yet,0
jiaxu,not play yet,0
wanniangongzhu,not play yet,0
yh_shenxuchu,not play yet,0
wumiao_zhugeliang,not play yet,0
caiwenji,not play yet,0
mt_luoxian,not play yet,0
luoxian,not play yet,0
wangyuanji,not play yet,0
ov_caoxiu,not play yet,0
hanba,not play yet,0
yh_zhenji,not play yet,0
tenyear_caozhang,not play yet,0
jin_xiahouhui,not play yet,0
erqiao,not play yet,0
mobilexin_zhouchu,not play yet,0
second_jin_simayi,not play yet,0
mobileyan_cuiyan,not play yet,0
hucheer,not play yet,0
xuelingyun,not play yet,0
wis_zhangzhao,not play yet,0
meizlzhugeguo,not play yet,0
tadun,not play yet,0
xunyu,not play yet,0
huangquan,not play yet,0
shenliubei,not play yet,0
sp_ganfuren,not play yet,0
mobile_zhonghui,not play yet,0
ezhangxingcai,not play yet,0
ov_chenzhen,not play yet,0
ov_liuhong,not play yet,0
langmadai,not play yet,0
ol_yuanshao,not play yet,0
dingyuan,not play yet,0
panghui,not play yet,0
tenyear_liuzan,not play yet,0
tenyear_wanglang,not play yet,0
ov_wuban,not play yet,0
yh_liufuren,not play yet,0
tenyear_guanlu,not play yet,0
tenyear_zhuling,not play yet,0
tenyear_huangzhong,not play yet,0
caozhi,not play yet,0
zhugedan,not play yet,0
yuantanyuanshang,not play yet,0
liubian,not play yet,0
dengzhong,not play yet,0
sp_hetaihou,not play yet,0
zhugeliang,not play yet,0
jianyong,not play yet,0
ol_sunluyu,not play yet,0
luaqiqi,not play yet,0
wis_sunce,not play yet,0
ol_madai,not play yet,0
qinmi,not play yet,0
meizllvlingqi,not play yet,0
huatuo,not play yet,0
XuYou_Seven,not play yet,0
ov_niufudongxie,not play yet,0
meizlguonvwang,not play yet,0
sp_menghuo,not play yet,0
CaoAng_Seven,not play yet,0
ol_caiwenji,not play yet,0
ov_zhangmancheng,not play yet,0
zhoutai,not play yet,0
meizlseguonvwang,not play yet,0
ol_xiahoudun,not play yet,0
huzhao,not play yet,0
jin_yangzhi,not play yet,0
ov_jiangji,not play yet,0
new_sp_jiaxu,not play yet,0
zhaoyan,not play yet,0
huangchengyan,not play yet,0
heyan,not play yet,0
st_xushu,not play yet,0
second_caosong,not play yet,0
bgm_daqiao,not play yet,0
jvshou,not play yet,0
jin_zhongyan,not play yet,0
yanghong,not play yet,0
huangzhong,not play yet,0
puyuan,not play yet,0
second_fanyufeng,not play yet,0
tenyear_xushu,not play yet,0
tenyear_zhugeliang,not play yet,0
sp_wanglie,not play yet,0
kof_nos_lvmeng,not play yet,0
buzhi,not play yet,0
panjun,not play yet,0
mobileyong_sunyi,not play yet,0
tenyear_masu,not play yet,0
nanhualaoxian,not play yet,0
tenyear_guotupangji,not play yet,0
jin_wangyuanji,not play yet,0
liaohua,not play yet,0
ZhouYu_Four,not play yet,0
GanNingB_Four,not play yet,0
yh_weihuacun,not play yet,0
meizlhuangyueying,not play yet,0
mobilezhi_bianfuren,not play yet,0
simazhao,not play yet,0
shenpei,not play yet,0
luzhi,not play yet,0
tenyear_wutugu,not play yet,0
ov_huojun,not play yet,0
CaoAng_Six,not play yet,0
ov_sunjian,not play yet,0
ov_hucheer,not play yet,0
chengong,not play yet,0
mobile_liushan,not play yet,0
tenyear_new_spmachao,not play yet,0
weiyan,not play yet,0
zhangwen,not play yet,0
tenyear_xiahouba,not play yet,0
new_liubiao,not play yet,0
GanNingA_Four,not play yet,0
huaxiong,not play yet,0
second_liuhong,not play yet,0
ol_liushan,not play yet,0
SunYi_Seven,not play yet,0
mobilezhi_feiyi,not play yet,0
ol_dongzhuo,not play yet,0
wangchang,not play yet,0
twyj_zumao,not play yet,0
second_qiuliju,not play yet,0
ZhuGeLiang_Plus,not play yet,0
tenyear_yangbiao,not play yet,0
sp_dingfeng,not play yet,0
LiuYe_Six,not play yet,0
zhonghui,not play yet,0
tenyear_zhaotongzhaoguang,not play yet,0
shenzhangliao,not play yet,0
yanrou,not play yet,0
mobile_yanliangwenchou,not play yet,0
mobile_chenwudongxi,not play yet,0
zhoucang,not play yet,0
huaman,not play yet,0
zhouqun,not play yet,0
new_zhangbao,not play yet,0
ol_lisu,not play yet,0
mobile_baosanniang,not play yet,0
ol_zhaoyun,not play yet,0
ol_yuanshu,not play yet,0
second_yanghuiyu,not play yet,0
jianggan,not play yet,0
mengda,not play yet,0
quancong,not play yet,0
new_zhoucang,not play yet,0
caocao,not play yet,0
yangbiao,not play yet,0
XiaHouBa_Diy,not play yet,0
ov_menghuo,not play yet,0
JiangWan_Plus,not play yet,0
zhanggongqi,not play yet,0
second_wangyi,not play yet,0
MaZhong_Seven,not play yet,0
licaiwei,not play yet,0
mobile_heqi,not play yet,0
ewangyun,not play yet,0
echengyu,not play yet,0
guohuai,not play yet,0
f_shensunce,not play yet,0
erzhang,not play yet,0
new_caozhen,not play yet,0
liubei,not play yet,0
sunshangxiang,not play yet,0
sp_luzhi,not play yet,0
CaoRen_Plus,not play yet,0
taoqian,not play yet,0
mushun,not play yet,0
yh_zhanghua,not play yet,0
tenyear_guanyu,not play yet,0
xusheng,not play yet,0
kan_yudachi,not play yet,0
mobile_dongzhuo,not play yet,0
ov_xiahoushang,not play yet,0
wis_xuyou,not play yet,0
mobile_shenpei,not play yet,0
jsp_huangyueying,not play yet,0
sunxiu,not play yet,0
caochong,not play yet,0
third_mobilezhi_sunshao,not play yet,0
tenyear_zhenji,not play yet,0
ov_xiahouen,not play yet,0
zerong,not play yet,0
meizlselvlingqi,not play yet,0
WeiYan_Plus,not play yet,0
guanyu,not play yet,0
tenyear_sunluyu,not play yet,0
ol_dingfeng,not play yet,0
yanyan,not play yet,0
mt_wenhui,not play yet,0
laiyinger,not play yet,0
new_caorui,not play yet,0
ov_hejin,not play yet,0
guozhao,not play yet,0
LvBu_Plus,not play yet,0
shentaishici,not play yet,0
mobile_yujin,not play yet,0
MiFuRen_Six,not play yet,0
yh_nvzhuangsimayi,not play yet,0
caosong,not play yet,0
ov_mateng,not play yet,0
HeJin_Six,not play yet,0
mobilexin_kongrong,not play yet,0
ZhangLu_Seven,not play yet,0
zhongyao,not play yet,0
pangde,not play yet,0
JuShou_Six,not play yet,0
ol_sp_gongsunzan,not play yet,0
yuanshao,not play yet,0
yh_liuguanzhang,not play yet,0
ty_shenmachao,not play yet,0
new_sppangde,not play yet,0
hujinding,not play yet,0
ov_fanchou,not play yet,0
xuchu,not play yet,0
newmspcaiwenji,not play yet,0
ov_shenguanyu,not play yet,0
ChengYu_Six,not play yet,0
gongsundu,not play yet,0
HuangYueYing_Plus,not play yet,0
ol_jiangwei,not play yet,0
tangji,not play yet,0
tenyear_ruiji,not play yet,0
mobile_zhangfei,not play yet,0
xingganning,not play yet,0
second_ol_wangyun,not play yet,0
yanbaihu,not play yet,0
tenyear_liuchen,not play yet,0
sp_wuyan,not play yet,0
yitianjian,not play yet,0
ov_gongsunfan,not play yet,0
qinlang,not play yet,0
second_liuqi,not play yet,0
guotufengji,not play yet,0
meizlyangwan,not play yet,0
ol_erqiao,not play yet,0
ol_lusu,not play yet,0
s4_txbw_yujin,not play yet,0
shensunce,not play yet,0
ov_jianshuo,not play yet,0
panzhangmazhong,not play yet,0
shenzhouyu,not play yet,0
new_jiakui,not play yet,0
PangDe_Six,not play yet,0
yuejiu,not play yet,0
meizlfushou,not play yet,0
second_tenyear_taoqian,not play yet,0
XiaHouDun_Four,not play yet,0
guanning,not play yet,0
ov_feiyi,not play yet,0
new_mobile_maliang,not play yet,0
meizlbainfuren,not play yet,0
yh_liumu,not play yet,0
chenlin,not play yet,0
caifuren,not play yet,0
tenyear_zhaoxiang,not play yet,0
ol_taishici,not play yet,0
bgm_ganning,not play yet,0
heg_xusheng,not play yet,0
caoshuang,not play yet,0
dengshizai,not play yet,0
tenyear_xinxianying,not play yet,0
zhugeshang,not play yet,0
liuhong,not play yet,0
lvkuanglvxiang,not play yet,0
duanqiaoxiao,not play yet,0
mobile_gaoshun,not play yet,0
meizlshenhuangyueying,not play yet,0
zhaoyun,not play yet,0
yanghuiyu,not play yet,0
mobile_menghuo,not play yet,0
second_tenyear_guohuai,not play yet,0
elidian,not play yet,0
mobile_wenyang,not play yet,0
mifuren,not play yet,0
mobile_dengai,not play yet,0
huangzu,not play yet,0
LuXun_Plus,not play yet,0
duGuanyu,not play yet,0
ov_wangyue,not play yet,0
lifeng,not play yet,0
HuaXiong_Plus,not play yet,0
yuji,not play yet,0
shenganning,not play yet,0
xuezong,not play yet,0
jin_zhanghua,not play yet,0
luji,not play yet,0
ol_shenzhenji,not play yet,0
meizlwangyue,not play yet,0
xinxianying,not play yet,0
sp_wenpin,not play yet,0
xingzhanghe,not play yet,0
tenyear_huangchengyan,not play yet,0
meizlzhangchunhua,not play yet,0
mobile_lingtong,not play yet,0
tenyear_quyi,not play yet,0
kof_nos_daqiao,not play yet,0
langzhangfei,not play yet,0
ZhuGeDan_Seven,not play yet,0
DaQiao_Plus,not play yet,0
zhangning,not play yet,0
zoushi,not play yet,0
GuoJia_Plus,not play yet,0
ZuMao_Seven,not play yet,0
GuoJia_Six,not play yet,0
mobile_liru,not play yet,0
LvMeng_Plus,not play yet,0
s4_txbw_pangde,not play yet,0
LiDian_Plus,not play yet,0
bgm_zhaoyun,not play yet,0
new_quancong,not play yet,0
liangxing,not play yet,0
hanfu,not play yet,0
tianyu,not play yet,0
ol_bulianshi,not play yet,0
nos_jin_yangyan,not play yet,0
ol_caozhi,not play yet,0
mobile_bulianshi,not play yet,0
guanyinping,not play yet,0
gaolan,not play yet,0
dongguiren,not play yet,0
caochun,not play yet,0
mobilemou_sunquan,not play yet,0
mobile_erzhang,not play yet,0
ol_liuchen,not play yet,0
ov_zhangnan,not play yet,0
second_new_sp_jiaxu,not play yet,0
kuailiangkuaiyue,not play yet,0
tenyear_erqiao,not play yet,0
yh_sunquan,not play yet,0
yh_cuifuren,not play yet,0
tenyear_wuguotai,not play yet,0
shenguojia,not play yet,0
tenyear_sunquan,not play yet,0
luotong,not play yet,0
kof_nos_huatuo,not play yet,0
wenpin,not play yet,0
SunJian_Plus,not play yet,0
st_huaxiong,not play yet,0
ov_bianfuren,not play yet,0
qiuliju,not play yet,0
mobile_chengpu,not play yet,0
CaoZhen_Seven,not play yet,0
zhangkai,not play yet,0
twyj_caoang,not play yet,0
heg_luxun,not play yet,0
ov_yangang,not play yet,0
mobileren_xiangchong,not play yet,0
hanhaoshihuan,not play yet,0
zhenji,not play yet,0
fazheng,not play yet,0
tenyear_sunluban,not play yet,0
ov_zhangji,not play yet,0
wuguotai,not play yet,0
ov_guohuai,not play yet,0
tenyear_weiyan,not play yet,0
ov_dongzhao,not play yet,0
meizlxiaoqiao,not play yet,0
ol_dengzhi,not play yet,0
second_sp_niujin,not play yet,0
ov_dianwei,not play yet,0
heg_dengai,not play yet,0
XuShaoXuQian_Seven,not play yet,0
jiangboyue,not play yet,0
jiling,not play yet,0
bianfuren,not play yet,0
ol_wangyun,not play yet,0
shenlvmeng,not play yet,0
vs_nos_zhaoyun,not play yet,0
yuanshu,not play yet,0
tenyear_madai,not play yet,0
tenyear_yufan,not play yet,0
wangyue,not play yet,0
tenyear_liufeng,not play yet,0
